project_code,jurisdiction,county,site_kind,site_kind_assertion,current_stage,current_stage_label,confidence_percent,total_acres,evidence_count,first_signal_date,latest_signal_date,operator_status,score_last_calculated_at
AZ-CHANDLER-006,Chandler,Maricopa,enterprise_data_center,reported,7,Operational,61.3,4.9443,7,2021-03-22,2026-07-27,not_established,2026-07-27T23:21:20.000695+00:00
AZ-MESA-001,Mesa,Maricopa,hyperscale_campus,reported,7,Operational,59.75,83.1715,10,2013-11-04,2026-07-27,not_established,2026-07-27T23:21:20.102890+00:00
AZ-MESA-002,Mesa,Maricopa,enterprise_data_center,reported,7,Operational,40.23,3.6364,7,2025-07-24,2026-07-27,not_established,2026-07-27T23:21:20.020750+00:00
AZ-CHANDLER-002,Chandler,Maricopa,enterprise_data_center,reported,7,Operational,38.86,20.9489,4,2010-07-15,2026-07-27,not_established,2026-07-27T23:21:20.032273+00:00
AZ-CHANDLER-001,Chandler,Maricopa,hyperscale_campus,reported,7,Operational,38.86,66.083,4,2022-04-04,2026-07-27,not_established,2026-07-27T23:21:20.042813+00:00
AZ-CHANDLER-004,Chandler,Maricopa,enterprise_data_center,reported,7,Operational,37.95,14.496,3,2025-10-30,2026-07-27,not_established,2026-07-27T23:21:20.123576+00:00
AZ-MESA-004,Mesa,Maricopa,enterprise_data_center,reported,7,Operational,36.48,1.2114,5,2013-02-27,2026-07-27,not_established,2026-07-27T23:21:20.132945+00:00
AZ-CHANDLER-005,Chandler,Maricopa,enterprise_data_center,reported,7,Operational,36.11,5.72,3,2007-09-20,2026-07-27,not_established,2026-07-27T23:21:20.083410+00:00
AZ-CHANDLER-007,Chandler,Maricopa,enterprise_data_center,reported,7,Operational,35.91,1.72,3,2013-02-27,2026-07-27,not_established,2026-07-27T23:21:20.062941+00:00
AZ-CHANDLER-003,Chandler,Maricopa,enterprise_data_center,reported,7,Operational,35.55,17.9617,3,2022-01-20,2026-07-27,not_established,2026-07-27T23:21:20.073694+00:00
AZ-GILBERT-001,Gilbert,Maricopa,enterprise_data_center,reported,7,Operational,35.32,2.8053,2,2026-07-25,2026-07-27,not_established,2026-07-27T23:21:20.052996+00:00
AZ-TEMPE-001,Tempe,Maricopa,enterprise_data_center,reported,7,Operational,34.39,4.2,3,2021-08-02,2026-07-27,not_established,2026-07-27T23:21:20.092972+00:00
AZ-MESA-003,Mesa,Maricopa,enterprise_data_center,reported,7,Operational,33.0,3.0003,2,2026-07-25,2026-07-27,not_established,2026-07-27T23:21:20.114591+00:00
